Symbol,Metric,Phase1,Phase2,Difference,%Change,Winner
ARBUSDT,win_rate,37.83,35.1,-2.73,-7.22,Phase1
ARBUSDT,max_drawdown,-156.38,-139.27,17.11,10.94,Phase2
ARBUSDT,sharpe_ratio,-0.08,-0.11,-0.03,-37.5,Phase1
ARBUSDT,avg_r,-0.06,-0.09,-0.03,-50.0,Phase1
ARBUSDT,profit_factor,0.85,0.79,-0.06,-7.06,Phase1
ARBUSDT,total_pnl,-54.03,-61.96,-7.93,-14.68,Phase1
AVAXUSDT,win_rate,49.44,50.26,0.82,1.66,Phase2
AVAXUSDT,max_drawdown,-63.43,-62.04,1.39,2.19,Phase2
AVAXUSDT,sharpe_ratio,0.19,0.19,0.0,0.0,Phase1
AVAXUSDT,avg_r,0.11,0.15,0.04,36.36,Phase2
AVAXUSDT,profit_factor,1.53,1.53,0.0,0.0,Phase1
AVAXUSDT,total_pnl,126.05,95.56,-30.49,-24.19,Phase1
BNBUSDT,win_rate,48.41,46.9,-1.51,-3.12,Phase1
BNBUSDT,max_drawdown,-58.75,-60.58,-1.83,-3.11,Phase1
BNBUSDT,sharpe_ratio,0.1,0.07,-0.03,-30.0,Phase1
BNBUSDT,avg_r,0.06,0.04,-0.02,-33.33,Phase1
BNBUSDT,profit_factor,1.24,1.17,-0.07,-5.65,Phase1
BNBUSDT,total_pnl,45.85,27.67,-18.18,-39.65,Phase1
BTCUSDT,win_rate,47.37,45.98,-1.39,-2.93,Phase1
BTCUSDT,max_drawdown,-60.5,-53.24,7.26,12.0,Phase2
BTCUSDT,sharpe_ratio,0.14,0.12,-0.02,-14.29,Phase1
BTCUSDT,avg_r,0.11,0.1,-0.01,-9.09,Phase1
BTCUSDT,profit_factor,1.34,1.29,-0.05,-3.73,Phase1
BTCUSDT,total_pnl,74.57,54.13,-20.44,-27.41,Phase1
DOGEUSDT,win_rate,46.95,48.77,1.82,3.88,Phase2
DOGEUSDT,max_drawdown,-107.91,-74.79,33.12,30.69,Phase2
DOGEUSDT,sharpe_ratio,0.13,0.16,0.03,23.08,Phase2
DOGEUSDT,avg_r,0.09,0.12,0.03,33.33,Phase2
DOGEUSDT,profit_factor,1.34,1.43,0.09,6.72,Phase2
DOGEUSDT,total_pnl,100.35,95.37,-4.98,-4.96,Phase1
ETHUSDT,win_rate,47.27,45.67,-1.6,-3.38,Phase1
ETHUSDT,max_drawdown,-65.65,-63.98,1.67,2.54,Phase2
ETHUSDT,sharpe_ratio,0.08,0.03,-0.05,-62.5,Phase1
ETHUSDT,avg_r,0.06,0.02,-0.04,-66.67,Phase1
ETHUSDT,profit_factor,1.19,1.07,-0.12,-10.08,Phase1
ETHUSDT,total_pnl,53.08,15.45,-37.63,-70.89,Phase1
LINKUSDT,win_rate,40.43,38.57,-1.86,-4.6,Phase1
LINKUSDT,max_drawdown,-113.75,-108.9,4.85,4.26,Phase2
LINKUSDT,sharpe_ratio,-0.06,-0.09,-0.03,-50.0,Phase1
LINKUSDT,avg_r,-0.04,-0.06,-0.02,-50.0,Phase1
LINKUSDT,profit_factor,0.87,0.82,-0.05,-5.75,Phase1
LINKUSDT,total_pnl,-38.88,-47.11,-8.23,-21.17,Phase1
OPUSDT,win_rate,38.01,37.5,-0.51,-1.34,Phase1
OPUSDT,max_drawdown,-135.22,-120.38,14.84,10.97,Phase2
OPUSDT,sharpe_ratio,-0.09,-0.1,-0.01,-11.11,Phase1
OPUSDT,avg_r,-0.07,-0.09,-0.02,-28.57,Phase1
OPUSDT,profit_factor,0.83,0.8,-0.03,-3.61,Phase1
OPUSDT,total_pnl,-61.5,-61.05,0.45,0.73,Phase2
PEPEUSDT,win_rate,42.86,40.94,-1.92,-4.48,Phase1
PEPEUSDT,max_drawdown,-162.93,-105.41,57.52,35.3,Phase2
PEPEUSDT,sharpe_ratio,0.01,-0.05,-0.06,-600.0,Phase1
PEPEUSDT,avg_r,0.01,-0.03,-0.04,-400.0,Phase1
PEPEUSDT,profit_factor,1.02,0.89,-0.13,-12.75,Phase1
PEPEUSDT,total_pnl,9.83,-31.12,-40.95,-416.58,Phase1
SOLUSDT,win_rate,42.18,42.29,0.11,0.26,Phase2
SOLUSDT,max_drawdown,-117.0,-99.04,17.96,15.35,Phase2
SOLUSDT,sharpe_ratio,0.02,-0.0,-0.02,-100.0,Phase1
SOLUSDT,avg_r,0.01,-0.0,-0.01,-100.0,Phase1
SOLUSDT,profit_factor,1.04,1.0,-0.04,-3.85,Phase1
SOLUSDT,total_pnl,13.26,-0.63,-13.89,-104.75,Phase1
WIFUSDT,win_rate,35.25,35.89,0.64,1.82,Phase2
WIFUSDT,max_drawdown,-243.75,-224.86,18.89,7.75,Phase2
WIFUSDT,sharpe_ratio,-0.15,-0.15,0.0,0.0,Phase1
WIFUSDT,avg_r,-0.08,-0.09,-0.01,-12.5,Phase1
WIFUSDT,profit_factor,0.72,0.72,0.0,0.0,Phase1
WIFUSDT,total_pnl,-151.0,-122.21,28.79,19.07,Phase2
XRPUSDT,win_rate,47.9,45.24,-2.66,-5.55,Phase1
XRPUSDT,max_drawdown,-116.08,-89.25,26.83,23.11,Phase2
XRPUSDT,sharpe_ratio,0.11,0.09,-0.02,-18.18,Phase1
XRPUSDT,avg_r,0.07,0.06,-0.01,-14.29,Phase1
XRPUSDT,profit_factor,1.29,1.21,-0.08,-6.2,Phase1
XRPUSDT,total_pnl,73.43,43.29,-30.14,-41.05,Phase1
